"ID_COMCOM","Nom_COMCOM","ID","nom_ID","Type","X","Y"
"1","CCPCAM","29000279","Poraon","OUV",150667.64,6819271.53
"1","CCPCAM","29000285","KERNERON / ARGOL","OUV",157553,6818380
"1","CCPCAM","29000274","POULDU","OUV",175581,6818065
"1","CCPCAM","29000275","GOASTALLAN","OUV",172695,6823175
"1","CCPCAM","29000194","PEN AR VERN (Sud)","OUV",169829,6822468
"2","DZCO","29000241","LESAFF CAP","OUV",150141,6799872
"2","DZCO","29000242","LESAFF FOR","OUV",150291,6799881
"2","DZCO","29000189","Keratry","OUV",159359.679999999,6800455.78
"2","DZCO","29000190","KERGAOULEDAN","OUV",152828,6797283
"2","DZCO","29001476","BOTCARN","OUV",153137,6797728
"2","DZCO","29000191","KERYANNES","OUV",152974,6798041
"2","DZCO","29000249","KERSTRAT","OUV",155999,6795149
"2","DZCO","29002187","KERSTRAT SUD60","OUV",155372,6795543
"3","CCHPB","29000267","SAINT RENAN","OUV",150930,6791072
"3","CCHPB","29002204","FORAGE KERLOSQUET","OUV",151061,6791271
"3","CCHPB","29000215","KERGAMET","OUV",152839,6791127
"3","CCHPB","29001501","KERGAMET FORAGE 1","OUV",152839,6791107
"3","CCHPB","29001502","KERGAMET FORAGE 2","OUV",152839,6791107
"3","CCHPB","29000250","SAINT AVE","OUV",157755,6791093
"3","CCHPB","29001503","SAINT AVE FOR","OUV",157564,6790979
"4","CCPF","29000157","CHEFFONTAINES","OUV",174065,6778765
"4","CCPF","290001571","Forage Cheffontaines","OUV",174085,6778785
"4","CCPF","29002055","Keraven","OUV",171606.7,6777182.01999999
"4","CCPF","290020551","Forage Keraven","OUV",173076,6777071
"4","CCPF","290020552","Guénodou","OUV",173056,6777051
"4","CCPF","290021101","Forage Roud Gwen","OUV",172550.644,6780779.406
"4","CCPF","29002110","ROUD GUEN PUITS PRINCIPAL","OUV",172530.644,6780759.406
"4","CCPF","29000198","Creach Queta","OUV",174220.39,6782919.41999999
"4","CCPF","290013191","Forage Bois de mur","OUV",178668,6784614
"4","CCPF","290013192","Forage Lanveron","OUV",178658,6784634
"4","CCPF","29001319","TROUARN SECONDAIRE","OUV",178678,6784594
"4","CCPF","290001971","Forage Kervrancel-Rosnabat","OUV",176912.64,6779054.29
"4","CCPF","29000197","Penalen","OUV",176892.64,6779024.29
"4","CCPF","29002043","KERASPLOC'H","OUV",175208,6776748
"4","CCPF","29002240","BREHOULOU","OUV",176455,6777430
"4","CCPF","2900224","BREHOULOU 2","OUV",176465,6777440
"5","CCPCP","29000232","RUNIGOU VIHAN","OUV",178416,6807880
"5","CCPCP","29000202","TOULHARN","OUV",181943,6807902
"5","CCPCP","29000203","MOULIN NEUF","OUV",179041,6807356
"5","CCPCP","29000252","MADELEINE","OUV",186356,6820774
"5","CCPCP","29000180","GARS AR GARO-FORAGE","OUV",189584,6817316
"5","CCPCP","29000187","KERGAOC","OUV",164192,6814598
"5","CCPCP","29000188","LEZAFF","OUV",166032,6813565
"5","CCPCP","29001506","COATILIGER FOR SS","OUV",177222,6816025
"5","CCPCP","29000314","COATILIGER SS","OUV",177277,6815994
"5","CCPCP","29000278","COATILIGER PL.","OUV",175232.9,6812698.183
"5","CCPCP","29001480","CROAZ RU","OUV",163304,6812453
"5","CCPCP","29000258","DOUR BIHAN","OUV",163505,6812912
"5","CCPCP","29000251","PEN A VERN.","OUV",186972.722,6820981.206
"5","CCPCP","29000999","Captage LA gare","OUV",186982.722,6820991.206
"5","CCPCP","29000998","Captage Noguellou","OUV",186992.722,6821001.206
"5","CCPCP","29000335","TOUL AR GLOET","OUV",163373,6816875
"5","CCPCP","29000336","BRIGNEUN","OUV",164931,6816663
"5","CCPCP","29000306","YEUN","OUV",161757,6815293
"5","CCPCP","29000305","CHAPELLE NEUVE","OUV",161677,6815253
"5","CCPCP","29000174","GRANNEC","OUV",171980,6808517
"5","CCPCP","29001540","MENEZ-KERLEC'H","OUV",173720,6808769
"5","CCPCP","29001522","PRAT AR ROUZ","OUV",172659,6809373
"6","QBO","29000247","KERNEVES CAP","OUV",163063,6792494
"6","QBO","29001504","PEN GOYEN","OUV",165779,6792282
"6","QBO","29000997","Forage PEN GOYEN","OUV",165789,6792292
"6","QBO","29000996","CAPTAGE Combren","OUV",167682,6785402
"6","QBO","29000255","REUNIAT-CAP","OUV",167495,6785973
"6","QBO","29000254","BOISSAVARN NOUVEAU","OUV",167672,6785392
"6","QBO","29000171","NENEZ","OUV",184751,6802913
"6","QBO","29002362","REUNIAT-FOR","OUV",167000,6785782
"6","QBO","29000287","KERGOAT","OUV",167423,6802732
"6","QBO","29001523","NENEZ FORAGE","OUV",167323,6785475
"6","QBO","29000172","GOULITQUER","OUV",182569,6801152
"6","QBO","29000218","TY FAO","OUV",176783,6799939
"6","QBO","29000217","LANVERN-FORAGE","OUV",176641,6800290
"6","QBO","29000216","LANVERN-CAPTAGE","OUV",176626,6800310
"6","QBO","29000222","KERZOUALEN","OUV",185634,6798329
"6","QBO","29000221","PARC YAN","OUV",185764,6798338
"6","QBO","29000220","KERGARADEC","OUV",181345,6796874
"6","QBO","29000219","KERGREN","OUV",181832,6797810
"6","QBO","29000327","Troheir","OUV",169788.929999999,6792230.50999999
"6","QBO","29000292","COATLIGAVAN","OUV",168617,6790961
"6","QBO","29000293","DOURGUEN","OUV",165749,6792303
"6","QBO","29000294","LEURRE","OUV",165263,6791537
"6","QBO","29001266","KERVOELLIC FOR","OUV",165684,6789185
"6","QBO","29000268","KERVOELIG","OUV",165629,6789166
"6","QBO","29000228","KERVAVARN","OUV",165353,6802501
"7","SMA","29000151","Coatigrac'h","OUV",176067.769999999,6812901.24
"7","SMA","29000152","Prat-Hir","OUV",176497.899999999,6810584.80999999
"1","CCPCAM","T1011","Usine de Poraon","TPP",150581.8103,6819324.0725
"1","CCPCAM","T1021","Station de Kernagoff","TPP",157067.1604,6819380.9779
"1","CCPCAM","T1041","Station de Rozvalen","TPP",175623.3558,6818089.1598
"1","CCPCAM","T1051","Station de Goastalan","TPP",172507.7088,6823262.202
"1","CCPCAM","T1052","Station du Pouldu","TPP",175623.3558,6818089.1598
"2","DZCO","T2011","Station de Nankou","TPP",154331.8337,6800262.2294
"2","DZCO","T2012","Usine de Kervignac","TPP",157288.1956,6801273.622
"2","DZCO","T2041","Station de Lezaff","TPP",149472.0366,6799634.4576
"2","DZCO","T2031","Station de Kerstrat","TPP",155399.0814,6795555.0474
"3","CCHPB","T3011","Station de Saint-avé","TPP",157621.062,6790916.4234
"3","CCHPB","T3021","Station de Kergamet","TPP",152835.5202,6791073.9522
"3","CCHPB","T3031","Station de Kerlaeron","TPP",150454.0279,6791565.719
"4","CCPF","T4041","Usine de Penalen","TPP",177121.1898,6779046.2598
"4","CCPF","T4021","Usine de Keraven","TPP",171633.3444,6777166.9968
"4","CCPF","T4022","Station de Cheffontaine","TPP",174074.6679,6778772.8979
"4","CCPF","T4031","Station de Roud Guen","TPP",172514.8638,6780765.2124
"4","CCPF","T4051","Station de Lanveron","TPP",179267.8176,6784082.5998
"4","CCPF","T4012","Brehoulou","TPP",176445,6777420
"5","CCPCP","T5012","Station de Brigneun","TPP",165265.717,6817080.2455
"5","CCPCP","T5011","Station de Toul Argloet","TPP",163347.4306,6817137.1165
"5","CCPCP","T5021","Station de Lescorveau","TPP",160168.0413,6815370.2159
"5","CCPCP","T5031","Station de Kergaoc","TPP",164188.0255,6814596.0297
"5","CCPCP","T5032","Station de Kernevez","TPP",167278.378,6814113.1074
"5","CCPCP","T5041","Station de Plomodiern","TPP",163509.1314,6811916.375
"5","CCPCP","T5071","Station de Coatiliger","TPP",177190.0266,6816017.5416
"5","CCPCP","T5091","Station du Loch","TPP",173699.6591,6809853.9191
"5","CCPCP","T5111","Station de Penbis","TPP",171006.9234,6808787.2586
"5","CCPCP","T5121","Station de Garzolic","TPP",185727.1752,6820066.9512
"5","CCPCP","T5151","Station de Runigou Vihan","TPP",178418.4144,6807880.2608
"5","CCPCP","T5161","Station de Toulharn","TPP",182109.1297,6808061.7798
"5","CCPCP","T5162","Station de Moulin Neuf","TPP",179035.7167,6807355.6059
"5","CCPCP","T5131","Usine Gars ar Garo / Station du réservoir du bourg","TPP",189574,6817306
"5","CCPCP","T5171","Usine de Kerbalaen","TPP",186962.722,6820971.206
"6","QBO","T6011","Station de Kergoat","TPP",167364.2714,6803389.434
"6","QBO","T6021","Station de Kervarvarn","TPP",165365.6502,6802509.4278
"6","QBO","T6051","Station de Kernévez","TPP",163066.1742,6792459.4062
"6","QBO","T6061","Station de Boissavarn","TPP",167741.7492,6785579.6328
"6","QBO","T6071","Station de Kervoelig","TPP",165630.3717,6789168.1198
"6","QBO","T6111","Station de Ty Fao","TPP",176737.236,6799958.7184
"6","QBO","T6101","Station de Traitement de Goulitquer","TPP",182684.9478,6801277.9313
"6","QBO","T6102","Station de Nenez","TPP",184749.7461,6802912.4223
"6","QBO","T6121","Station de Kermaria","TPP",181764.5918,6797218.0663
"6","QBO","T6131","Station de Kerzoualen","TPP",185368.4632,6798367.4835
"6","QBO","T6141","Usine de Troheir","TPP",169798.6836,6792232.9291
"6","QBO","T6142","Station de Kernisy","TPP",169920.709,6790246.2069
"7","SMA","T7002","Usine de Guy Robin","TPP",175893.3367,6810433.6735
"7","SMA","T7001","Usine de Coatigrac'h","TPP",174849.1038,6811515.348
"7","SMA","R7003","Réservoir de Locronan","Réservoir",164586.171208,6801363.42638
"7","SMA","R7001","Réservoir de Dinéault","Réservoir",171309,6812671
"7","SMA","R7004","Réservoir de Briec","Réservoir",175741,6803676
"7","SMA","R7002","Réservoir de Cast (Réservoir de Ménez Quelc'h)","Réservoir",173972,6808029
"1","CCPCAM","R1021","Reservoir de la Montagne","Réservoir",157873.070389,6817415.92364
"2","DZCO","R2031","Réservoir du Moulin (Le Juch)","Réservoir",160775,6795343
"3","CCHPB","R3011","Réservoir de Kerandoaré","Réservoir",158577,6791767
"3","CCHPB","R3021","Reservoir de Landudec","Réservoir",153732,6791864
"3","CCHPB","R3031","Reservoir de Karlaéron","Réservoir",150451,6791563
"4","CCPF","R4021","Réservoir de Bénodet","Réservoir",169267,6776946
"4","CCPF","R4031","Réservoir de Bellevue","Réservoir",173412,6780322
"4","CCPF","R4051","Réservoir de Lanvéron","Réservoir",179265,6784107
"4","CCPF","R4041","Réservoir Garen Seach","Réservoir",178731,6779798
"4","CCPF","R4011","Réservoir de Kerourgué","Réservoir",176295,6777960
"5","CCPCP","R5151","Réservoir de Menez Krullu","Réservoir",177954.620143,6808870.27063
"5","CCPCP","R5161","Réservoir du Bourg","Réservoir",182088.232939,6808077.4119
"6","QBO","R6141","Réservoir de Cuzon","Réservoir",173081,6790894
"1","CCPCAM","102","Crozon-Est","URD",155343.444903213,6820313.83588937
"1","CCPCAM","101","Crozon-Ouest","URD",143432.698138099,6821407.46682621
"1","CCPCAM","104","Le Faou","URD",171101.234929611,6824518.92254778
"1","CCPCAM","105","Pont-de-Buis-lès-Quimerch","URD",173373.893553704,6820842.24968762
"1","CCPCAM","106","Pont-de-Buis-lès-Quimerch","URD",173373.893553704,6820842.24968762
"1","CCPCAM","103","Rosnoën","URD",166624.746579889,6821111.80613785
"2","DZCO","201","Douarnenez","URD",155089.182485056,6800831.8788118
"2","DZCO","202","Kerlaz","URD",159985.935129193,6801640.38951425
"2","DZCO","203","Le Juch-Pouldergat","URD",156525.422862226,6796867.31999691
"2","DZCO","204","Poullan-sur-mer","URD",149894.812931315,6800975.80760374
"3","CCHPB","302","Kergamet","URD",153423.641546428,6792363.69870428
"3","CCHPB","304","Plonéour-Lanvern","URD",158000.185045465,6781414.20339784
"3","CCHPB","301","Saint-Avé","URD",157944.506670685,6788868.77541003
"3","CCHPB","303","Saint-Ronan","URD",150106.444813233,6787470.57970721
"4","CCPF","402","Benodet","URD",171767.247950483,6776798.02857463
"4","CCPF","401","Fouesnant","URD",176143.172087824,6775762.5731809
"4","CCPF","404","La-Fôret-Fouesnant","URD",180221.26127413,6780744.06391096
"4","CCPF","403","Lanveron","URD",171630.585001123,6780426.25256439
"4","CCPF","405","Saint-Evarzec","URD",177442.836557779,6784696.66868045
"5","CCPCP","511","Cast","URD",171286.211306641,6807019.18738507
"5","CCPCP","509","Châteaulin","URD",175165.611286764,6812701.90411421
"5","CCPCP","503","Dinéault","URD",168438.65859893,6814964.18790196
"5","CCPCP","516","Gouézec","URD",182357.573647685,6808389.53190437
"5","CCPCP","517","Lannedern","URD",188657.790923983,6821154.72457839
"5","CCPCP","513","Le Cloître Pleyben","URD",188809.2738069,6817710.40190098
"5","CCPCP","514","Lennon","URD",187824.62300997,6811858.09055714
"5","CCPCP","515","Lothey","URD",178533.321554203,6810267.95171632
"5","CCPCP","512","Pleyben","URD",182774.785785997,6815940.17420926
"5","CCPCP","505","Ploéven","URD",164416.763486536,6808679.19458692
"5","CCPCP","504","Plomodiern","URD",164319.590001085,6811231.74586201
"5","CCPCP","506","Plonévez-Porzay","URD",162149.184875617,6805464.72123989
"5","CCPCP","508","Port-Launay","URD",174711.233584529,6814399.53245704
"5","CCPCP","510","Saint-Coulitz","URD",175467.869731036,6810361.00850406
"5","CCPCP","502","Saint-Nic","URD",159954.142853709,6814986.12304709
"5","CCPCP","507","Saint-Ségal","URD",175208.296334568,6816362.14472976
"5","CCPCP","501","Trégarvan","URD",163880.597709743,6817606.20906808
"6","QBO","609","Briec","URD",178034.071447081,6800262.81841015
"6","QBO","610","Edern","URD",182717.227947833,6802708.92645351
"6","QBO","608","Ergué-Gabéric","URD",178161.159119172,6791151.44620519
"6","QBO","604","Guengat","URD",164481.922601343,6795625.06356933
"6","QBO","611","Landrévarzec","URD",173946.469559406,6800166.66580166
"6","QBO","612","Landudal","URD",180829.35211572,6795877.37776432
"6","QBO","613","Langolen","URD",185553.207300779,6797410.7738982
"6","QBO","602","Locronan","URD",163787.534107518,6802031.51526491
"6","QBO","603","Plogonnec","URD",167572.876055015,6798865.46268076
"6","QBO","606","Plomelin","URD",166832.105698413,6783648.93644323
"6","QBO","605","Plonéis","URD",163189.551693076,6792381.7374172
"6","QBO","607","Pluguffan","URD",164416.588862257,6787927.23581394
"6","QBO","601","Quéménéven","URD",169120.871753047,6803775.29286428
"6","QBO","614","Quimper","URD",171831.25532953,6790031.36522016
"6","QBO","615","Quimper Nord","URD",171831.25532953,6790031.36522016
"8","CC Cap Sizun - Pointe du raz","803","Confort-Meilars","URD",146925.146190953,6798906.77785899
"8","CC Cap Sizun - Pointe du raz","802","Goyen","URD",138081.0841827,6796407.37378344
"8","CC Cap Sizun - Pointe du raz","804","Mahalon","URD",147753.37316262,6795603.76929748
"8","CC Cap Sizun - Pointe du raz","801","Nord-Cap-Sizun","URD",137227.804240015,6800727.05661406
"HP","CC Monts d'ArrÚe CommunautÚ","HP3","Brasparts","URD",185438.668330289,6824786.8489688
"HP","CC Monts d'ArrÚe CommunautÚ","HP2","Lopérec","URD",179033.524210467,6823369.48563845
"HP","CC Pays Bigouden Sud","HP1","CCPBS","URD",158389.65400579,6774911.99560276
