"ID_COMCOM","Nom_COMCOM","ID","nom_ID","ID_TTP","NOM_TTP","X","Y","Nature","Type_eau","Permeabilité","Prof","K_aut_jr","K_autres","V_prel_2019","K_hydro_moy_1","K_hydro_moy_2","K_hydro_moy_3","K_hydro_moy_4","K_hydro_moy_5","K_hydro_moy_6","K_hydro_moy_7","K_hydro_moy_8","K_hydro_moy_9","K_hydro_moy_10","K_hydro_moy_11","K_hydro_moy_12","K_hydro_sec_1","K_hydro_sec_2","K_hydro_sec_3","K_hydro_sec_4","K_hydro_sec_5","K_hydro_sec_6","K_hydro_sec_7","K_hydro_sec_8","K_hydro_sec_9","K_hydro_sec_10","K_hydro_sec_11","K_hydro_sec_12","K_hydro_Etendue_1","K_hydro_Etendue_2","K_hydro_Etendue_3","K_hydro_Etendue_4","K_hydro_Etendue_5","K_hydro_Etendue_6","K_hydro_Etendue_7","K_hydro_Etendue_8","K_hydro_Etendue_9","K_hydro_Etendue_10","K_hydro_Etendue_11","K_hydro_Etendue_12","Type"
"1","CCPCAM","29000279","Poraon","T1011","Usine de Poraon",150667.64,6819271.53,"Prise en rivière",0,7e-05,"1",2000,NA,394668,1,1,1,1,0.75,0.442133333333333,0.091548387096774,0.0407580645161291,0,0.0876290322580645,0.8,1,100,100,1,1,0.5,0.25,0,0,0,0,0.5,1,1,1,1,1,0.5,0.25,0,0,0,0,0.5,100,"OUV"
"1","CCPCAM","29000285","KERNERON / ARGOL","T1021","Station de Kernagoff",157553,6818380,"Puits",1,7e-05,"7",2100,NA,884261,1,1.00065975852239,1,1,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"1","CCPCAM","29000274","POULDU","T1052","Station du Pouldu",175581,6818065,"Puits",1,7e-05,"5",400,NA,117875,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"1","CCPCAM","29000275","GOASTALLAN","T1051","Station de Goastalan",172695,6823175,"Puits",1,7e-05,"7",400,NA,133571,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"1","CCPCAM","29000194","PEN AR VERN (Sud)","T1041","Station de Rozvalen",169829,6822468,"Puits",1,7e-05,"5.2",450,NA,112251,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29000241","LESAFF CAP","T2041","Station de Lezaff",150141,6799872,"Puits",1,7e-05,"3",360,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29000242","LESAFF FOR","T2041","Station de Lezaff",150291,6799881,"Forage",1,7e-05,"100",240,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"2","DZCO","29000189","Keratry","T2012","Usine de Kervignac",159359.679999999,6800455.78,"Prise en retenue",0,7e-05,"1",2500,"Max 6000",398675,1,1,1,1,1,1,0.855051612903226,0.855051612903226,0.855051612903226,1,1,1,1,1,1,1,1,1,0.7884,0.645387096774193,0.5,0.642251612903227,1,1,1,1,1,1,1,1,0.67014,0.548579032258064,0.425,0.545913870967743,0.85,1,"OUV"
"2","DZCO","29000190","KERGAOULEDAN","T2011","Station de Nankou",152828,6797283,"Puits",1,7e-05,"6",3200,"MAX 3771 avec Keryannes",580105,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29001476","BOTCARN","T2011","Station de Nankou",153137,6797728,"Forage",1,7e-05,"50",940,"Max 940",248928,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"2","DZCO","29000191","KERYANNES","T2011","Station de Nankou",152974,6798041,"Puits",1,7e-05,"5",500,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29000249","KERSTRAT","T2031","Station de Kerstrat",155999,6795149,"Captage",1,7e-05,"10",600,NA,100191,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29002187","KERSTRAT SUD60","T2031","Station de Kerstrat",155372,6795543,"Forage",1,7e-05,"100",400,"0",0,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000267","SAINT RENAN","T3031","Station de Kerlaeron",150930,6791072,"Captage",1,7e-05,"5",1500,NA,353920,1,1,1,1,1,1,0.8,0.6,0.5,0.7,1,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29002204","FORAGE KERLOSQUET","T3031","Station de Kerlaeron",151061,6791271,"Forage",1,7e-05,"125",240,NA,36313,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000215","KERGAMET","T3021","Station de Kergamet",152839,6791127,"Puits",1,7e-05,"5",700,NA,62144,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29001501","KERGAMET FORAGE 1","T3021","Station de Kergamet",152839,6791107,"Forage",1,7e-05,"28",360,NA,73969,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29001502","KERGAMET FORAGE 2","T3021","Station de Kergamet",152839,6791107,"Forage",1,7e-05,"53",100,NA,8053,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000250","SAINT AVE","T3011","Station se Saint-avé",157755,6791093,"Puits",1,7e-05,"5",720,NA,235490,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29001503","SAINT AVE FOR","T3011","Station se Saint-avé",157564,6790979,"Forage",1,7e-05,"130",240,NA,48202,1,1.00065975852239,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29000157","CHEFFONTAINES","T4022","Station de Cheffontaine",174065,6778765,NA,1,7e-05,"5",480,NA,91161,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"4","CCPF","290001571","Forage Cheffontaines","T4022","Station de Cheffontaine",174085,6778785,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29002055","Keraven","T4021","Usine de Keraven",171606.7,6777182.01999999,NA,0,7e-05,"1",2000,NA,171404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7884,0.645387096774193,0.5,0.642251612903227,1,1,1,1,1,1,1,1,0.67014,0.548579032258064,0.425,0.545913870967743,0.85,1,"OUV"
"4","CCPF","290020551","Forage Keraven","T4021","Usine de Keraven",173076,6777071,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","290020552","Guénodou","T4021","Usine de Keraven",173056,6777051,NA,1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","290021101","Forage Roud Gwen","T4031","Station de Roud Guen",172550.644,6780779.406,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29002110","ROUD GUEN PUITS PRINCIPAL","T4031","Station de Roud Guen",172530.644,6780759.406,"Puits",1,7e-05,"7",800,NA,267473,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"4","CCPF","29000198","Creach Queta","T4041","Usine de Penalen",174220.39,6782919.41999999,"Prise en rivière",0,7e-05,"1",2400,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7884,0.645387096774193,0.5,0.642251612903227,1,1,1,1,1,1,1,1,0.67014,0.548579032258064,0.425,0.545913870967743,0.85,1,"OUV"
"4","CCPF","290013191","Forage Bois de mur","T4051","Station de Lanveron",178668,6784614,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","290013192","Forage Lanveron","T4051","Station de Lanveron",178658,6784634,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29001319","TROUARN SECONDAIRE","T4051","Station de Lanveron",178678,6784594,"Puits",1,7e-05,"5",750,NA,158132,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"4","CCPF","290001971","Forage Kervrancel-Rosnabat","T4041","Usine de Penalen",176912.64,6779054.29,"Forage",1,7e-05,"40",0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29000197","Penalen","T4041","Usine de Penalen",176892.64,6779024.29,"Prise en retenue",0,7e-05,"1",1600,NA,846812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7884,0.645387096774193,0.5,0.642251612903227,1,1,1,1,1,1,1,1,0.67014,0.548579032258064,0.425,0.545913870967743,0.85,1,"OUV"
"4","CCPF","29002043","KERASPLOC'H","T4012","Station de Kerourgue",175208,6776748,"Forage",1,7e-05,"85",500,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","29002240","BREHOULOU","T4012","Station de Kerourgue",176455,6777430,NA,1,7e-05,"100",552,NA,182510,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"4","CCPF","2900224","BREHOULOU 2","T4012","Station de Brehoulou",176465,6777440,"Forage",1,7e-05,"7",500,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"5","CCPCP","29000232","RUNIGOU VIHAN","T5151","Station de Runigou Vihan",178416,6807880,"Puits",1,7e-05,"5",400,NA,68839,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"5","CCPCP","29000202","TOULHARN","T5161","Station de Toulharn",181943,6807902,"Puits",1,7e-05,"3",300,NA,84802,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"5","CCPCP","29000203","MOULIN NEUF","T5162","Station de Moulin Neuf",179041,6807356,"Puits",1,7e-05,"5",500,NA,113193,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"5","CCPCP","29000252","MADELEINE","T5121","Station de Garzolic",186356,6820774,"Forage",1,7e-05,"19",360,NA,84568,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"5","CCPCP","29000180","GARS AR GARO-FORAGE","T5131","Usine Gars ar Garo / Station du réservoir du bourg",189584,6817316,"Forage",1,7e-05,"58",100,NA,4193,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"5","CCPCP","29000187","KERGAOC","T5031","Station de Kergaoc",164192,6814598,"Puits",1,7e-05,"5",300,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"5","CCPCP","29000188","LEZAFF","T5032","Station de Kernevez",166032,6813565,"Puits",1,7e-05,"5",180,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"5","CCPCP","29001506","COATILIGER FOR SS","T5071","Station de Coatiliger",177222,6816025,"Puits",1,7e-05,"6",50,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
